,player_name,class_name,matches_played,innings_bowled_in,balls_bowled,runs_conceded,wickets_taken,best_innings_bowling,best_match_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wkts_in_an_inns,five_wkts_in_an_inns,ten_wkts_in_a_match
1955,1061514,List A,2,2,54,41,2,2/18,2/18,20.50,4.55,27.0,0,0,0
1956,1061514,T20s,1,1,24,49,0,-,-,-,12.25,-,0,0,0
1957,974719,ODIs,27,-,-,-,-,-,-,-,-,-,-,-,-
1958,974719,T20Is,22,-,-,-,-,-,-,-,-,-,-,-,-
1959,974719,First-class,5,-,-,-,-,-,-,-,-,-,-,-,-
1960,974719,List A,47,-,-,-,-,-,-,-,-,-,-,-,-
1961,974719,T20s,24,-,-,-,-,-,-,-,-,-,-,-,-
1962,447458,ODIs,13,-,-,-,-,-,-,-,-,-,-,-,-
1963,447458,T20Is,18,-,-,-,-,-,-,-,-,-,-,-,-
1964,447458,First-class,10,-,-,-,-,-,-,-,-,-,-,-,-
1965,447458,List A,49,-,-,-,-,-,-,-,-,-,-,-,-
1966,447458,T20s,35,-,-,-,-,-,-,-,-,-,-,-,-
1967,941959,ODIs,11,11,516,467,8,2/38,2/38,58.37,5.43,64.5,0,0,0
1968,941959,T20Is,8,8,144,185,6,2/25,2/25,30.83,7.70,24.0,0,0,0
1969,941959,First-class,3,5,288,170,5,3/43,3/43,34.00,3.54,57.6,0,0,0
1970,941959,List A,17,17,768,621,15,3/48,3/48,41.40,4.85,51.2,0,0,0
1971,941959,T20s,8,8,144,185,6,2/25,2/25,30.83,7.70,24.0,0,0,0
1972,220519,ODIs,15,1,12,16,0,-,-,-,8.00,-,0,0,0
1973,220519,T20Is,11,-,-,-,-,-,-,-,-,-,-,-,-
1974,220519,First-class,7,3,90,60,0,-,-,-,4.00,-,0,0,0
1975,220519,List A,33,1,12,16,0,-,-,-,8.00,-,0,0,0
1976,220519,T20s,13,-,-,-,-,-,-,-,-,-,-,-,-
1977,474760,ODIs,5,1,4,10,0,-,-,-,15.00,-,0,0,0
1978,474760,T20Is,5,-,-,-,-,-,-,-,-,-,-,-,-
1979,474760,List A,5,1,4,10,0,-,-,-,15.00,-,0,0,0
1980,474760,T20s,5,-,-,-,-,-,-,-,-,-,-,-,-
