player_name,class_name,matches_played,innings_batted,not_outs,runs_scored,highest_inns_score,batting_average,balls_faced,batting_strike_rate,hundreds_scored,fifties_scored,boundary_fours,boundary_sixes,catches_taken,stumpings_made
373538,Tests,11,22,2,481,66,24.05,875,54.97,0,4,57,6,3,0
373538,ODIs,63,56,7,1255,102,25.61,1369,91.67,1,5,144,24,32,0
373538,T20Is,41,40,5,906,80,25.88,739,122.59,0,4,87,28,22,0
373538,First-class,58,101,16,2772,165,32.61,4856,57.08,4,14,351,30,48,0
373538,List A,152,142,18,3501,112,28.23,3789,92.39,3,17,352,85,71,0
373538,T20s,140,129,19,2958,122,26.89,2415,122.48,1,14,245,112,71,0
629057,Tests,3,5,0,193,76,38.6,399,48.37,0,1,22,0,1,0
629057,First-class,46,74,2,3299,189,45.81,7182,45.93,7,18,420,17,26,0
629057,List A,59,58,3,2118,144*,38.5,3060,69.21,2,13,200,27,20,0
629057,T20s,7,7,0,119,45,17,130,91.53,0,0,15,1,4,0
56143,Tests,55,103,7,3807,217,39.65,6150,61.9,5,24,470,19,22,0
56143,ODIs,205,193,27,6259,134*,37.7,7564,82.74,9,46,568,42,49,0
56143,T20Is,72,72,9,1471,84,23.34,1196,122.99,0,8,152,32,18,0
56143,First-class,91,167,14,5722,217,37.39,,,8,34,,,45,0
56143,List A,250,236,29,7401,134*,35.75,8719,84.88,9,54,669,63,67,0
56143,T20s,298,271,44,4763,86*,20.98,3904,122,0,18,445,120,74,0
436677,Tests,14,26,0,786,149,30.23,1279,61.45,1,4,106,9,17,0
436677,ODIs,51,50,3,1611,127*,34.27,1610,100.06,2,10,189,41,28,0
436677,T20Is,41,41,0,718,51,17.51,584,122.94,0,1,78,25,22,0
436677,First-class,65,114,5,3304,149,30.31,5324,62.05,3,20,451,45,51,0
436677,List A,129,126,5,3951,208*,32.65,4398,89.83,6,20,420,115,69,0
436677,T20s,106,104,6,1633,58*,16.66,1442,113.24,0,5,162,58,52,0
927619,Tests,2,2,1,4,4*,4,19,21.05,0,0,1,0,2,0
927619,First-class,24,29,12,138,26,8.11,250,55.2,0,0,15,7,17,0
927619,List A,31,10,4,5,4*,0.83,16,31.25,0,0,1,0,7,0
927619,T20s,18,3,2,14,8*,14,16,87.5,0,0,1,0,3,0
401057,Tests,24,40,6,342,39*,10.05,803,42.59,0,0,43,2,13,0
401057,ODIs,4,2,0,21,11,10.5,40,52.5,0,0,2,0,1,0
401057,First-class,64,94,19,970,64,12.93,1844,52.6,0,2,135,8,38,0
401057,List A,94,54,16,457,57*,12.02,709,64.45,0,1,38,6,42,0
401057,T20s,69,22,8,155,22*,11.07,181,85.63,0,0,12,2,9,0
56194,Tests,58,112,1,4327,206,38.98,7648,56.57,9,27,538,35,14,0
56194,ODIs,200,198,8,6863,154,36.12,8802,77.97,11,47,752,82,52,0
56194,T20Is,75,75,5,1613,103*,23.04,1383,116.63,1,6,174,41,18,0
56194,First-class,88,164,7,6637,206,42.27,,,15,40,,,28,0
56194,List A,246,244,11,8779,157,37.67,10800,81.28,16,56,,,65,0
56194,T20s,191,190,17,5225,141*,30.2,4349,120.14,3,33,538,159,55,0
8917,Tests,58,100,8,2769,155*,30.09,5382,51.44,5,14,336,25,32,0
8917,ODIs,101,82,13,1766,128,25.59,1697,104.06,3,5,154,60,32,0
8917,T20Is,25,22,6,235,72*,14.68,198,118.68,0,1,21,9,7,0
8917,First-class,190,324,27,11063,250,37.24,20078,55.1,20,69,,,110,0
8917,List A,218,193,15,5061,158,28.43,4931,102.63,11,20,539,128,65,0
8917,T20s,137,128,11,2803,115,23.95,2048,136.86,1,15,290,108,43,0
8608,Tests,148,207,86,1174,81,9.7,2940,39.93,0,1,159,3,91,0
8608,ODIs,194,79,43,273,28,7.58,561,48.66,0,0,23,0,53,0
8608,T20Is,19,4,3,1,1*,1,2,50,0,0,0,0,3,0
8608,First-class,245,314,126,1815,81,9.65,,,0,1,,,144,0
8608,List A,261,105,63,376,28,8.95,,,0,0,,,68,0
8608,T20s,44,10,6,23,16,5.75,26,88.46,0,0,3,0,8,0
669855,ODIs,12,6,3,13,7*,4.33,21,61.9,0,0,1,0,4,0
669855,T20Is,1,-,-,-,-,-,-,-,-,-,-,-,0,0
669855,First-class,28,41,9,1003,81*,31.34,1406,71.33,0,6,119,24,19,0
669855,List A,26,17,6,205,45,18.63,179,114.52,0,0,15,9,8,0
669855,T20s,93,48,24,418,36,17.41,297,140.74,0,0,34,13,26,0
297433,Tests,63,109,6,3806,167*,36.95,6839,55.65,6,20,447,24,160,11
297433,ODIs,72,66,8,2791,141*,48.12,2651,105.28,9,11,314,62,33,2
297433,T20Is,30,25,6,513,68,27,394,130.2,0,3,48,19,28,0
297433,First-class,174,285,32,11352,246,44.86,,,24,61,,,446,22
297433,List A,140,128,14,4713,174,41.34,4535,103.92,12,21,472,121,84,8
297433,T20s,109,97,19,2211,114,28.34,1666,132.71,2,9,179,86,70,12
297628,ODIs,15,12,0,271,62,22.58,298,90.93,0,2,29,2,13,0
297628,T20Is,21,18,0,314,87,17.44,221,142.08,0,2,30,11,13,1
297628,First-class,64,95,10,2792,171,32.84,4745,58.84,3,14,398,8,164,11
297628,List A,91,80,13,2708,175,40.41,2569,105.41,6,18,280,47,82,8
297628,T20s,160,149,20,3030,95*,23.48,2314,130.94,0,17,259,90,94,14
10617,Tests,126,183,24,3064,169,19.27,4710,65.05,1,12,377,37,42,0
10617,ODIs,121,68,25,529,45*,12.3,709,74.61,0,0,35,10,27,0
10617,T20Is,56,26,10,118,18*,7.37,118,100,0,0,7,3,21,0
10617,First-class,209,292,43,4997,169,20.06,7951,62.84,1,24,,,78,0
10617,List A,151,80,28,620,45*,11.92,817,75.88,0,0,42,10,32,0
10617,T20s,85,32,12,152,18*,7.6,149,102.01,0,0,10,3,26,0
398778,Tests,6,12,0,300,84,25,628,47.77,0,2,36,0,4,0
398778,First-class,120,209,14,8418,219*,43.16,16981,49.57,16,46,1141,11,103,0
398778,List A,57,55,6,1722,95,35.14,2031,84.78,0,12,128,16,29,0
398778,T20s,40,35,4,452,50,14.58,381,118.63,0,1,50,7,13,1
308967,Tests,31,54,6,1722,106,35.87,2876,59.87,1,14,204,18,68,0
308967,ODIs,140,116,23,3784,150,40.68,3147,120.24,9,19,315,125,169,31
308967,T20Is,66,58,11,1260,73*,26.8,912,138.15,0,7,102,53,23,4
308967,First-class,95,152,13,4593,144,33.04,7651,60.03,5,29,585,53,184,2
308967,List A,211,176,43,5950,150,44.73,4938,120.49,11,35,538,188,221,36
308967,T20s,249,228,41,5708,95*,30.52,3952,144.43,0,39,489,239,135,27
662973,Tests,9,16,2,454,78,32.42,773,58.73,0,3,47,14,0,0
662973,ODIs,2,2,0,17,15,8.5,29,58.62,0,0,1,1,0,0
662973,First-class,54,84,10,2131,96,28.79,3658,58.25,0,16,290,32,13,0
662973,List A,51,34,5,597,57,20.58,709,84.2,0,1,57,7,20,0
662973,T20s,56,44,10,573,55*,16.85,457,125.38,0,2,52,19,13,0
550235,Tests,2,3,1,66,39,33,120,55,0,0,12,0,0,0
550235,ODIs,17,11,7,178,47*,44.5,166,107.22,0,0,18,4,4,0
550235,T20Is,11,4,3,10,6,10,8,125,0,0,0,1,1,0
550235,First-class,59,81,11,1241,60,17.72,2445,50.75,0,5,168,6,20,0
550235,List A,75,50,19,614,47*,19.8,635,96.69,0,0,49,8,25,0
550235,T20s,83,44,15,593,62,20.44,452,131.19,0,2,58,15,24,0
211855,Tests,3,6,2,84,66*,21,197,42.63,0,1,7,1,2,0
211855,ODIs,3,2,0,14,10,7,17,82.35,0,0,1,0,0,0
211855,T20Is,6,2,1,17,10,17,8,212.5,0,0,2,1,2,0
211855,First-class,147,240,25,7022,169,32.66,14368,48.87,8,39,838,25,141,0
